"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*06228*","Josh Minott","BOS","SF,PF,F,Flx","109","booty","","64.93","51%","+25.7%","6","21.8","2.8","6.7",".425","1.7","2.2",".769","1.0","6.8","1.7","1.5","0.5","0.5","8.3"
"*06mka*","Tristan da Silva","ORL","SF,PF,F,Flx","110","W <small>(Tue)</small>","","64.9","33%","-4.4%","7","20.9","3.6","8.0",".446","2.0","2.3",".875","1.6","2.9","1.0","1.1","0.1","0.7","10.7"
"*04ewm*","Jarrett Allen","CLE","C,Flx","111","12?","ATL Sun 5:00PM","64.55","100%","-0.2%","5","27.0","4.6","8.0",".575","4.8","6.0",".800","0.0","7.0","1.8","1.4","0.4","1.6","14.0"
"*051op*","Rui Hachimura","LAL","PF,F,Flx","112","Slovenia","MIA Sun 8:30PM","64.39","69%","-2.4%","6","36.5","5.8","9.8",".593","2.0","2.7",".750","1.7","3.8","1.8","0.5","0.3","1.7","15.3"
"*06cc5*","Anthony Black","ORL","PG,SG,G,Flx","113","FA","","64.07","40%","+4.4%","7","26.2","4.4","8.7",".508","2.4","3.6",".680","1.0","3.0","2.3","0.9","0.9","2.9","12.3"
"*03el5*","Kristaps Porzingis","ATL","C,Flx","114","booty","@CLE Sun 5:00PM","63.93","99%","-0.2%","4","24.8","7.0","13.8",".509","2.5","3.0",".833","2.5","5.8","3.0","0.5","1.0","1.8","19.0"
"*02ym0*","Andrew Wiggins","MIA","SG,G,SF,F,Flx","115","SMAC777","@LAL Sun 8:30PM","63.68","93%","-1.5%","5","30.4","6.6","12.4",".532","1.8","3.2",".563","1.4","4.8","2.0","1.4","0.8","2.0","16.4"
"*0527h*","Naz Reid","MIN","PF,F,C,Flx","116","herb","","63.55","97%","-1.4%","6","22.9","4.3","10.0",".433","1.3","2.3",".571","1.3","5.5","1.5","0.8","0.8","1.7","11.3"
"*042nt*","Ivica Zubac","LAC","C,Flx","117","herb","","63.51","100%","0%","5","28.8","6.6","10.2",".647","2.0","2.2",".909","0.0","8.6","2.4","0.0","1.4","1.8","15.2"
"*06cbx*","Jaime Jaquez","MIA","SG,G,SF,F,Flx","118","12?","@LAL Sun 8:30PM","63.18","78%","+7.8%","5","29.2","6.6","10.6",".623","2.6","3.0",".867","0.4","6.6","4.6","1.0","0.0","2.0","16.2"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F,Flx","119","WIN","@PHO Sun 7:00PM","62.94","96%","-0.3%","5","34.7","6.2","14.2",".437","1.0","1.6",".625","3.4","4.6","2.4","1.2","0.2","2.0","16.8"
"*03r7z*","Norman Powell","MIA","SG,G,SF,F,Flx","120","Slovenia","@LAL Sun 8:30PM","62.9","99%","+0.2%","3","30.9","7.0","14.7",".477","7.0","7.7",".913","3.0","7.3","3.0","2.0","0.3","2.0","24.0"
"*04qrw*","Kevin Huerter","CHI","SG,G,Flx","121","booty","@NY Sun 6:00PM","62.84","44%","+0.8%","5","25.6","4.8","8.8",".545","3.2","3.6",".889","1.4","4.4","2.8","0.8","0.8","1.4","14.2"
"*06226*","Moussa Diabate","CHA","C,Flx","122","12?","UTA Sun 5:00PM","62.51","66%","-1.9%","6","19.8","3.5","5.8",".600","3.0","4.3",".692","0.0","6.3","0.5","0.3","1.2","0.7","10.0"
"*0621i*","Jake LaRavia","LAL","PF,F,Flx","123","Benny","MIA Sun 8:30PM","62.39","28%","-2.5%","6","27.6","3.8","7.0",".548","1.5","2.8",".529","1.7","4.7","2.5","1.0","0.2","1.3","10.8"
"*06ca8*","Amen Thompson","HOU","PG,SG,G,SF,PF,F,Flx","124","SMAC777","","62.34","100%","-0.1%","5","33.2","5.6","12.0",".467","3.6","5.2",".692","0.2","6.0","5.8","0.8","0.2","2.6","15.0"
"*049kc*","Malik Monk","SAC","PG,SG,G,Flx","125","BOT","","62.32","94%","-0.4%","5","25.2","5.8","10.6",".547","1.4","1.6",".875","2.6","1.2","2.4","1.2","0.8","1.0","15.6"
"*06mk3*","Matas Buzelis","CHI","SF,PF,F,Flx","126","12?","@NY Sun 6:00PM","61.92","99%","-0.4%","5","28.3","5.8","11.8",".492","2.8","3.4",".824","1.6","3.8","1.4","0.8","1.0","2.0","16.0"
"*031lv*","Kentavious Caldwell-Pope","MEM","SG,G,SF,F,Flx","127","FA","@TOR Sun 5:00PM","61.5","40%","-6.2%","6","24.4","3.2","8.5",".373","2.5","2.7",".938","1.5","2.8","4.7","0.7","0.2","1.3","10.3"
"*051oy*","Goga Bitadze","ORL","C,Flx","128","FA","","61.21","32%","-2.8%","7","18.0","3.0","4.0",".750","0.9","1.4",".600","0.3","5.7","1.4","0.4","1.1","0.4","7.1"
"*04s00*","Duncan Robinson","DET","SG,G,SF,F,Flx","129","FA","","60.99","30%","-6.1%","6","31.7","3.5","8.2",".429","1.8","2.2",".846","2.5","3.0","1.2","0.2","0.7","0.3","11.3"
"*06217*","Dyson Daniels","ATL","SG,G,SF,F,Flx","130","Slovenia","@CLE Sun 5:00PM","60.97","99%","-0.9%","6","31.4","3.2","8.0",".396","1.0","1.7",".600","0.2","6.0","3.5","2.3","0.5","1.7","7.5"
"*06mjx*","Ron Holland","DET","SF,PF,F,Flx","131","Benny","","60.97","55%","-5.5%","6","21.1","3.5","8.0",".438","1.8","2.2",".846","1.2","3.5","1.8","2.0","0.3","2.0","10.0"
"*03al2*","Joel Embiid","PHI","C,Flx","132","WIN","@BKN Sun 5:00PM","60.63","98%","-0.6%","4","22.1","5.8","12.5",".460","4.0","5.0",".800","1.8","5.3","3.5","0.5","1.0","2.8","17.3"
"*05uug*","Sam Hauser","BOS","SF,PF,F,Flx","133","BOT","","60.46","52%","-8.6%","7","23.1","3.4","8.0",".429","0.3","0.3","1.000","3.3","3.3","1.3","0.4","0.3","1.0","10.4"
"*06v80*","Ryan Kalkbrenner","CHA","C,Flx","134","Goon","UTA Sun 5:00PM","60.27","73%","-0.2%","6","27.8","4.8","5.7",".853","0.5","0.8",".600","0.0","7.0","0.5","0.8","1.8","1.7","10.2"
"*06v58*","Tre Johnson","WAS","SG,G,Flx","135","WIN","","59.82","76%","+1.1%","6","26.5","4.7","11.3",".412","1.2","1.2","1.000","2.2","3.3","1.7","0.3","0.8","1.3","12.7"
"*05ujc*","Ayo Dosunmu","CHI","SG,G,SF,F,Flx","136","WIN","@NY Sun 6:00PM","59.57","66%","-2.3%","5","26.1","6.0","10.4",".577","2.2","2.6",".846","2.0","3.0","3.2","0.2","0.0","0.6","16.2"
"*05uuq*","Jock Landale","MEM","C,Flx","137","FA","@TOR Sun 5:00PM","59.32","20%","+3.8%","6","23.7","3.7","6.5",".564","1.8","2.2",".846","1.0","5.2","1.3","0.2","0.7","0.8","10.2"
"*049kd*","Deandre Ayton","LAL","C,Flx","138","WIN","MIA Sun 8:30PM","59.19","99%","-0.4%","6","31.4","7.0","11.2",".627","0.8","1.8",".455","0.0","7.8","1.2","0.5","0.8","2.5","14.8"
"*06v5y*","Dylan Harper","SA","SG,G,Flx","139","herb","@PHO Sun 7:00PM","58.64","90%","+1.1%","5","25.8","5.4","11.2",".482","2.6","3.2",".813","1.0","4.6","4.6","0.8","0.0","2.0","14.4"
"*06v5g*","Jeremiah Fears","NO","PG,G,Flx","140","Slovenia","NO 68<br/>@OKC 85","58.57","50%","+0.2%","6","25.6","5.3","11.5",".464","1.5","2.0",".750","1.0","2.3","3.8","1.5","0.0","2.0","13.2"
"*06mkk*","Ryan Dunn","PHO","SF,PF,F,Flx","141","FA","SA Sun 7:00PM","58.22","52%","-7.2%","6","23.5","3.8","7.8",".489","0.3","0.7",".500","0.8","6.7","1.8","0.8","1.0","0.8","8.8"
"*051ok*","DeAndre Hunter","CLE","SF,PF,F,Flx","142","SMAC777","ATL Sun 5:00PM","58.17","79%","-1.2%","4","28.8","5.8","14.8",".390","4.3","5.3",".810","2.5","5.3","3.0","0.3","0.3","1.8","18.3"
"*06234*","AJ Green","MIL","PG,SG,G,Flx","143","FA","","57.09","33%","+5.2%","6","28.4","4.2","7.3",".568","1.0","1.5",".667","3.3","2.7","0.8","0.3","0.0","1.0","12.7"
"*0621y*","Max Christie","DAL","SG,G,SF,F,Flx","144","FA","","56.85","30%","+1%","6","30.0","4.0","7.5",".533","1.3","1.5",".889","2.7","2.2","2.3","0.2","0.3","1.2","12.0"
"*05qtb*","Sam Merrill","CLE","SG,G,Flx","145","SMAC777","ATL Sun 5:00PM","56.55","48%","-3.7%","4","25.8","5.3","10.0",".525","2.3","2.3","1.000","4.5","2.0","2.0","0.8","0.3","1.3","17.3"
"*02ng3*","Khris Middleton","WAS","SF,PF,F,Flx","146","Goon","","56.19","73%","-1.4%","6","24.9","4.3","9.0",".481","1.5","2.3",".643","1.2","4.5","2.2","0.7","0.2","1.5","11.3"
