"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*0622k*","Jabari Walker","PHI","SF,PF,F,C,Flx","284","FA","@BKN Sun 5:00PM","32.22","12%","+0.4%","5","13.1","1.8","4.0",".450","0.4","0.4","1.000","0.0","3.2","0.0","0.2","0.6","0.4","4.0"
"*04ewu*","Josh Hart","NY","SG,G,SF,F,Flx","285","W <small>(Mon)</small>","CHI Sun 6:00PM","32.22","98%","-1%","4","22.3","1.0","4.8",".211","0.5","1.0",".500","0.3","6.0","3.3","0.8","0.0","1.5","2.8"
"*06v5t*","Ben Saraf","BKN","PG,SG,G,Flx","286","FA","PHI Sun 5:00PM","32.17","24%","-3.2%","5","18.2","1.0","4.6",".217","0.8","1.2",".667","0.4","2.2","3.2","0.4","0.0","1.6","3.2"
"*05qsp*","Isaiah Joe","OKC","PG,SG,G,Flx","287","FA","NO 68<br/>@OKC 85","31.89","15%","-1.1%","2","16.8","4.0","7.5",".533","0.5","1.0",".500","3.0","3.0","0.5","1.0","0.0","0.0","11.5"
"*05uul*","Jose Alvarado","NO","PG,G,Flx","288","FA","NO 68<br/>@OKC 85","31.66","17%","-5%","5","13.0","1.0","3.2",".313","0.2","0.4",".500","0.8","1.8","1.2","0.8","0.0","0.4","3.0"
"*04xhz*","Jordan McLaughlin","SA","PG,G,Flx","289","FA","@PHO Sun 7:00PM","31.32","2%","+0.3%","5","8.6","1.0","2.2",".455","0.4","0.4","1.000","0.8","0.4","1.0","0.8","0.0","0.0","3.2"
"*04k0q*","Nigel Hayes-Davis","PHO","SF,PF,F,Flx","290","FA","SA Sun 7:00PM","31.02","7%","-0.8%","6","11.1","1.3","2.5",".533","0.0","0.0","0","0.2","1.7","0.7","0.7","0.0","0.3","2.8"
"*05qst*","Paul Reed","DET","C,Flx","291","FA","","30.92","9%","-0.4%","4","8.5","2.3","3.8",".600","0.0","0.0","0","0.5","2.8","0.5","0.3","0.8","1.3","5.0"
"*06ca9*","Jordan Hawkins","NO","SG,G,Flx","292","FA","NO 68<br/>@OKC 85","30.55","21%","-1.6%","4","14.4","1.3","4.8",".263","1.0","1.0","1.000","0.8","2.5","1.0","0.0","0.0","0.3","4.3"
"*043cj*","Gary Payton II","GS","PG,SG,G,Flx","293","FA","","30.07","11%","-3.4%","7","8.4","1.1","2.4",".471","0.0","0.0","0","0.0","2.0","0.6","0.3","0.3","0.6","2.3"
"*051oo*","Jaxson Hayes","LAL","C,Flx","294","FA","MIA Sun 8:30PM","29.85","13%","-1.9%","3","16.7","1.3","2.3",".571","0.0","0.7",".000","0.0","5.0","3.0","0.3","0.7","0.7","2.7"
"*0626t*","Dominick Barlow","PHI","SF,F,Flx","295","FA","@BKN Sun 5:00PM","29.37","24%","-9.5%","2","25.1","2.5","5.0",".500","2.5","3.0",".833","0.0","6.0","2.5","0.0","0.5","1.5","7.5"
"*06v7y*","Noah Penda","ORL","SF,PF,F,Flx","296","FA","","29.22","13%","-0.4%","4","10.6","1.3","2.0",".625","0.3","0.5",".500","0.5","2.0","1.3","0.3","0.5","0.5","3.3"
"*06v59*","Will Riley","WAS","SF,PF,F,Flx","297","FA","","29.13","19%","-0.5%","5","5.7","1.0","2.2",".455","0.6","0.8",".750","0.2","1.4","0.6","0.4","0.0","0.0","2.8"
"*06mmc*","Justin Edwards","PHI","SG,G,SF,PF,F,Flx","298","FA","@BKN Sun 5:00PM","28.73","16%","-1.9%","5","11.7","1.4","3.6",".389","0.0","0.0","0","1.0","1.2","0.4","0.0","0.0","0.4","3.8"
"*05qtk*","Vit Krejci","ATL","PG,SG,G,Flx","299","FA","@CLE Sun 5:00PM","28.7","10%","-0.7%","2","17.9","3.0","6.5",".462","1.0","1.5",".667","2.0","2.0","1.0","1.0","0.0","1.0","9.0"
"*042nf*","Caris LeVert","DET","SG,G,SF,F,Flx","300","FA","","28.7","47%","-11.8%","3","18.4","2.0","6.0",".333","1.0","1.7",".600","0.7","1.0","2.0","0.3","0.0","1.0","5.7"
"*06v5c*","Asa Newell","ATL","PF,F,Flx","301","FA","@CLE Sun 5:00PM","28.63","27%","+0.1%","3","10.0","2.0","4.3",".462","0.3","0.7",".500","1.3","3.3","0.3","0.0","0.0","0.7","5.7"
"*02nf3*","Bradley Beal","LAC","SG,G,Flx","302","FA","","28.22","84%","-11.7%","3","20.5","2.3","5.7",".412","1.3","1.3","1.000","0.7","1.0","1.3","0.3","0.0","1.0","6.7"
"*059g0*","Amir Coffey","MIL","SG,G,SF,PF,F,Flx","303","FA","","28.04","8%","-1.6%","6","11.0","0.8","1.5",".556","0.5","0.5","1.000","0.2","1.3","0.7","0.0","0.2","0.2","2.3"
"*06v5o*","Liam McNeeley","CHA","SF,PF,F,Flx","304","FA","UTA Sun 5:00PM","28.02","21%","-1.3%","4","10.3","0.8","2.5",".300","1.3","1.8",".714","0.3","1.5","1.5","0.3","0.0","0.5","3.0"
"*05g3q*","Gabe Vincent","LAL","PG,G,Flx","305","FA","MIA Sun 8:30PM","28.01","9%","-3.7%","3","23.9","1.0","4.3",".231","1.0","1.0","1.000","0.7","1.0","2.3","1.0","0.0","0.7","3.7"
"*06mk0*","Robert Dillingham","MIN","PG,G,Flx","306","FA","","27.84","36%","-4.2%","4","11.2","2.0","3.8",".533","0.0","0.0","0","0.0","0.3","2.8","1.0","0.0","1.5","4.0"
"*055qo*","Caleb Martin","DAL","SF,F,Flx","307","FA","","27.76","7%","-1%","5","9.1","0.8","2.0",".400","0.6","0.8",".750","0.2","1.2","0.8","0.6","0.0","0.6","2.4"
"*06mmf*","Daniss Jenkins","DET","PG,G,Flx","308","FA","","27.6","5%","+1.6%","4","10.3","1.3","2.5",".500","0.5","0.5","1.000","0.5","0.0","1.5","1.0","0.0","1.0","3.5"
"*06mlg*","Tyler Kolek","NY","PG,G,Flx","309","FA","CHI Sun 6:00PM","27.4","12%","-0.2%","5","10.4","1.6","3.8",".421","0.0","0.0","0","0.6","0.8","1.6","0.2","0.0","1.0","3.8"
"*06gix*","Duop Reath","POR","C,Flx","310","FA","","27.24","4%","-0.5%","4","6.0","1.0","2.5",".400","0.0","0.0","0","1.0","0.3","0.5","0.0","0.3","0.0","3.0"
"*06v8f*","Tyrese Proctor","CLE","PG,SG,G,Flx","311","FA","ATL Sun 5:00PM","27.23","15%","-0.5%","5","12.1","1.2","4.6",".261","0.0","0.0","0","0.4","1.2","1.0","0.6","0.0","1.0","2.8"
"*03xmt*","Guerschon Yabusele","NY","PF,F,C,Flx","312","FA","CHI Sun 6:00PM","27.1","27%","-9.3%","4","11.1","0.8","3.3",".231","0.0","0.0","0","0.5","3.5","0.3","0.3","0.3","0.3","2.0"
"*06ccv*","Trayce Jackson-Davis","GS","C,Flx","313","FA","","26.97","18%","-2.7%","3","8.8","0.7","2.0",".333","1.3","1.3","1.000","0.0","1.7","0.7","0.7","0.3","0.3","2.7"
"*05ujg*","Isaiah Livers","PHO","PF,F,Flx","314","FA","SA Sun 7:00PM","26.32","2%","+1.1%","4","9.3","0.5","2.0",".250","0.5","0.5","1.000","0.5","0.3","0.3","0.5","0.5","0.0","2.0"
"*06v5w*","Nique Clifford","SAC","PG,SG,G,Flx","315","FA","","26.3","33%","-1.6%","2","19.8","0.5","2.0",".250","0.0","0.0","0","0.0","5.5","1.0","1.0","1.0","0.5","1.0"
"*06vy3*","Caleb Love","POR","SG,G,Flx","316","FA","","26.23","5%","+0.1%","2","9.6","2.0","7.0",".286","0.0","0.0","0","1.0","2.5","2.5","0.0","0.0","0.0","5.0"
"*06pwq*","Tolu Smith","DET","PF,F,Flx","317","FA","","25.8","3%","+1.3%","1","6.1","3.0","4.0",".750","5.0","7.0",".714","0.0","4.0","0.0","1.0","0.0","1.0","11.0"
"*06v5f*","Khaman Maluach","PHO","C,Flx","318","FA","SA Sun 7:00PM","25.75","42%","-5.3%","3","6.2","0.3","1.0",".333","1.7","2.0",".833","0.0","0.7","0.3","0.0","0.7","0.3","2.3"
"*06y2o*","Dylan Cardwell","SAC","C,Flx","319","FA","","25.66","7%","0%","3","10.8","0.7","2.0",".333","0.3","0.7",".500","0.0","1.7","0.0","0.7","1.0","0.7","1.7"
"*0622i*","Gui Santos","GS","PF,F,Flx","320","FA","","25.65","6%","-0.7%","6","6.6","0.8","1.5",".556","0.0","0.0","0","0.5","1.0","0.3","0.3","0.0","0.8","2.2"
"*06cdf*","Julian Phillips","CHI","SF,F,Flx","321","FA","@NY Sun 6:00PM","25.64","6%","-0.2%","4","7.0","1.0","2.5",".400","0.0","0.0","0","0.3","0.5","0.3","0.5","0.3","0.0","2.3"
"*06v5e*","Yang Hansen","POR","C,Flx","322","FA","","25.56","47%","-9.7%","5","5.8","0.4","1.8",".222","1.0","1.2",".833","0.0","0.8","0.0","0.0","0.4","0.6","1.8"
"*06mld*","Jonathan Mogbo","TOR","PF,F,C,Flx","323","FA","MEM Sun 5:00PM","25.24","20%","-2.6%","5","5.4","0.6","1.0",".600","0.0","0.0","0","0.0","1.4","0.4","0.2","0.4","0.2","1.2"
"*05ux3*","Jordan Goodwin","PHO","PG,G,Flx","324","FA","SA Sun 7:00PM","25.17","7%","-1.9%","3","9.2","1.0","4.0",".250","0.7","1.0",".667","0.3","2.0","1.3","1.3","0.0","2.0","3.0"
"*06mkb*","JaKobe Walter","TOR","PG,SG,G,Flx","325","FA","MEM Sun 5:00PM","24.93","19%","-1%","3","12.3","0.7","2.7",".250","0.7","0.7","1.000","0.7","1.3","1.3","0.3","0.3","0.7","2.7"
"*06ccu*","Tristan Vukcevic","WAS","C,Flx","326","FA","","24.91","17%","-2.8%","5","5.7","0.8","2.2",".364","0.4","0.8",".500","0.2","1.0","0.2","0.0","0.2","0.4","2.2"
"*06qdz*","Elijah Harkless","UTA","SG,G,Flx","327","FA","@CHA Sun 5:00PM","24.66","1%","+0.2%","2","12.1","1.0","3.0",".333","0.5","1.0",".500","0.5","1.5","1.0","1.0","0.0","0.0","3.0"
"*051pi*","Daniel Gafford","DAL","C,Flx","328","BOT","","24.66","75%","-3.9%","1","17.4","2.0","3.0",".667","3.0","3.0","1.000","0.0","4.0","3.0","0.0","0.0","0.0","7.0"
"*06v83*","Chaz Lanier","DET","PG,SG,G,Flx","329","FA","","24.58","11%","-0.2%","5","6.4","0.8","2.2",".364","0.0","0.0","0","0.6","0.2","0.4","0.2","0.0","0.2","2.2"
"*051pa*","Kevin Porter","MIL","PG,SG,G,Flx","330","FA","","24.55","90%","-3.1%","1","9.4","3.0","5.0",".600","2.0","2.0","1.000","2.0","0.0","2.0","1.0","0.0","0.0","10.0"
"*06mm4*","Ariel Hukporti","NY","C,Flx","331","FA","CHI Sun 6:00PM","24.16","8%","-0.9%","3","13.4","0.3","1.3",".250","0.0","0.0","0","0.0","3.3","1.3","0.3","0.3","0.7","0.7"
"*0622g*","JD Davison","HOU","PG,G,Flx","332","FA","","24.15","5%","-1.3%","2","7.4","1.5","2.5",".600","0.0","1.0",".000","1.0","0.0","1.0","0.5","0.5","0.0","4.0"
"*06v5b*","Yanic Konan Niederhauser","LAC","SF,PF,F,C,Flx","333","FA","","24.13","15%","-0.1%","3","4.4","1.3","1.3","1.000","0.7","1.3",".500","0.0","1.0","0.7","0.0","0.0","0.0","3.3"
"*06cd1*","Jordan Walsh","BOS","PF,F,Flx","334","FA","","24","7%","-0.7%","4","6.0","1.0","2.5",".400","0.0","0.0","0","0.5","1.0","0.3","0.0","0.0","0.0","2.5"
"*04ex5*","Thomas Bryant","CLE","C,Flx","335","FA","ATL Sun 5:00PM","23.93","5%","-1%","3","7.2","1.3","3.3",".400","0.0","0.3",".000","0.0","1.7","0.3","0.3","0.0","0.0","2.7"
"*005l3*","DeAndre Jordan","NO","C,Flx","336","FA","NO 68<br/>@OKC 85","23.87","3%","+1%","2","11.7","2.0","2.5",".800","0.5","1.0",".500","0.0","5.0","0.0","0.0","0.0","0.5","4.5"
"*06mmi*","Branden Carlson","OKC","C,Flx","337","FA","NO 68<br/>@OKC 85","23.74","4%","-0.5%","5","3.5","0.8","1.2",".667","0.0","0.0","0","0.2","1.2","0.4","0.0","0.0","0.2","1.8"
"*06mm5*","PJ Hall","MEM","C,Flx","338","FA","@TOR Sun 5:00PM","23.72","5%","-0.8%","3","5.7","1.0","1.3",".750","0.0","0.0","0","0.3","1.3","0.0","0.0","0.7","0.3","2.3"
"*001ax*","Jeff Green","HOU","PF,F,Flx","339","FA","","23.7","2%","-0.2%","2","5.7","1.5","1.5","1.000","0.0","0.0","0","1.5","0.0","0.0","0.0","0.5","0.0","4.5"
"*06mk5*","Devin Carter","SAC","PG,G,Flx","340","FA","","23.58","19%","-1.8%","3","7.9","0.3","1.3",".250","0.7","0.7","1.000","0.0","1.0","0.7","1.0","0.3","0.7","1.3"
"*0621a*","Ousmane Dieng","OKC","PF,F,C,Flx","341","FA","NO 68<br/>@OKC 85","23.57","10%","-1.2%","4","7.9","0.5","1.8",".286","0.0","0.0","0","0.3","1.0","0.3","0.0","0.8","0.5","1.3"
"*06ccb*","Nick Smith","LAL","SG,G,Flx","342","FA","MIA Sun 8:30PM","23.54","9%","-1.5%","2","15.1","1.5","5.5",".273","1.0","1.5",".667","0.5","2.0","2.0","0.0","0.5","1.5","4.5"
"*05uud*","Justin Champagnie","WAS","SF,F,Flx","343","FA","","23.47","16%","-4.2%","5","4.2","0.2","1.6",".125","0.8","0.8","1.000","0.0","2.0","0.2","0.0","0.0","0.0","1.2"
"*06cd2*","Rayan Rupert","POR","SG,G,Flx","344","FA","","23.44","5%","-0.5%","4","6.3","0.5","1.3",".400","0.0","0.0","0","0.3","1.3","0.5","0.5","0.0","0.3","1.3"
"*06v5p*","Nolan Traore","BKN","PG,SG,G,Flx","345","FA","PHI Sun 5:00PM","23.38","25%","-1.7%","2","14.8","1.0","4.0",".250","0.5","1.0",".500","1.0","0.5","2.0","1.0","0.0","1.0","3.5"
"*06mk2*","Cody Williams","UTA","SG,G,Flx","346","FA","@CHA Sun 5:00PM","23.36","20%","-1.5%","3","9.7","1.7","2.7",".625","0.0","0.0","0","0.7","0.7","0.7","0.0","0.0","0.7","4.0"
"*03acy*","Dario Saric","SAC","C,Flx","347","FA","","23.34","6%","-1.5%","3","9.2","0.3","1.7",".200","0.7","0.7","1.000","0.3","1.7","0.7","0.0","0.0","0.3","1.7"
"*06mls*","Cam Christie","LAC","SG,G,Flx","348","FA","","23.29","7%","-0.2%","3","6.2","0.7","2.3",".286","1.0","1.3",".750","0.7","1.3","0.3","0.0","0.0","0.3","3.0"
"*06ccy*","Jalen Pickett","DEN","SG,G,Flx","349","FA","","22.97","5%","-0.6%","3","5.5","1.3","2.3",".571","0.3","0.3","1.000","0.3","0.7","1.0","0.0","0.0","0.3","3.3"
"*06ca3*","Julian Strawther","DEN","SG,G,SF,F,Flx","350","FA","","22.95","17%","-2.3%","3","5.0","1.0","2.7",".375","0.7","1.3",".500","0.3","1.3","0.7","0.0","0.0","0.3","3.0"
"*06cc6*","Jett Howard","ORL","SF,F,Flx","351","FA","","22.83","10%","-0.6%","5","4.9","0.4","1.6",".250","0.0","0.0","0","0.4","0.4","0.6","0.0","0.2","0.2","1.2"
"*06mm8*","Keshad Johnson","MIA","SF,F,Flx","352","FA","@LAL Sun 8:30PM","22.76","5%","0%","2","5.2","1.5","3.5",".429","0.0","0.0","0","0.5","1.5","0.0","0.5","0.0","0.0","3.5"
"*06mm6*","NFaly Dante","ATL","C,Flx","353","FA","@CLE Sun 5:00PM","22.69","4%","-0.2%","3","4.6","0.3","1.3",".250","0.3","0.3","1.000","0.0","2.3","0.0","0.7","0.0","0.3","1.0"
"*03aq3*","Kyle Anderson","UTA","SF,PF,F,Flx","354","FA","@CHA Sun 5:00PM","22.63","7%","-1.3%","1","25.3","3.0","6.0",".500","2.0","3.0",".667","0.0","3.0","3.0","0.0","0.0","1.0","8.0"
"*0622j*","Luke Travers","CLE","SG,G,Flx","355","FA","ATL Sun 5:00PM","22.6","1%","0%","3","8.0","0.0","2.7",".000","0.7","0.7","1.000","0.0","1.7","0.7","0.0","0.3","0.3","0.7"
"*0723f*","Chris Youngblood","OKC","PG,SG,G,Flx","356","FA","NO 68<br/>@OKC 85","22.55","4%","-0.1%","6","4.3","0.2","0.8",".200","0.7","0.7","1.000","0.2","0.3","0.2","0.0","0.0","0.0","1.2"
"*06cdh*","GG Jackson","MEM","PF,F,Flx","357","FA","@TOR Sun 5:00PM","22.44","26%","-6.6%","2","9.1","1.0","3.5",".286","0.5","1.0",".500","0.0","1.0","0.0","0.5","0.0","0.0","2.5"
"*04qsd*","Mitchell Robinson","NY","C,Flx","358","FA","CHI Sun 6:00PM","22.44","54%","-7.6%","1","19.6","2.0","3.0",".667","0.0","0.0","0","0.0","11.0","2.0","0.0","0.0","1.0","4.0"
"*0622a*","Vince Williams","MEM","SG,G,Flx","359","FA","@TOR Sun 5:00PM","22.23","16%","-1.8%","1","17.0","3.0","9.0",".333","0.0","0.0","0","1.0","2.0","3.0","1.0","0.0","2.0","7.0"
"*005kf*","Eric Gordon","PHI","SG,G,SF,F,Flx","360","FA","@BKN Sun 5:00PM","22.17","4%","-0.2%","2","7.8","1.5","2.0",".750","0.0","0.0","0","1.0","0.0","0.0","0.5","0.0","0.5","4.0"
"*027oq*","Bismack Biyombo","SA","C,Flx","361","FA","@PHO Sun 7:00PM","22.15","2%","-0.2%","4","9.5","0.3","0.3","1.000","0.0","0.0","0","0.0","1.0","0.3","0.8","0.0","0.5","0.5"
"*04qs4*","Robert Williams","POR","C,Flx","362","FA","","21.95","20%","-1.1%","1","11.3","2.0","2.0","1.000","0.0","1.0",".000","0.0","4.0","1.0","0.0","1.0","0.0","4.0"
"*06mlh*","Johnny Furphy","IND","SG,G,SF,F,Flx","363","FA","","21.75","20%","-3.3%","2","11.9","1.0","2.0",".500","0.0","0.0","0","0.5","1.5","0.0","1.0","0.0","1.0","2.5"
"*06v86*","Micah Peavy","NO","PG,SG,G,SF,PF,F,Flx","364","FA","NO 68<br/>@OKC 85","21.7","10%","-0.5%","2","5.5","1.0","2.5",".400","0.5","1.0",".500","0.0","1.5","0.5","0.5","0.0","0.0","2.5"
"*06v72*","Rasheer Fleming","PHO","SF,PF,F,Flx","365","FA","SA Sun 7:00PM","21.64","22%","-1.1%","3","4.8","0.3","2.3",".143","0.0","0.0","0","0.3","0.7","0.7","0.3","0.0","0.0","1.0"
"*06mor*","David Jones","SA","SF,PF,F,Flx","366","FA","@PHO Sun 7:00PM","21.6","4%","-0.3%","2","3.1","1.5","2.0",".750","0.5","0.5","1.000","0.0","0.5","1.0","0.0","0.0","0.0","3.5"
"*06v8a*","Brooks Barnhizer","OKC","PG,SG,G,Flx","367","FA","NO 68<br/>@OKC 85","21.56","11%","-1%","5","8.1","0.6","1.4",".429","0.0","0.0","0","0.0","1.2","0.0","0.0","0.0","0.0","1.2"
"*06mlj*","Bobi Klintman","DET","SF,F,Flx","368","FA","","21.45","8%","-0.1%","1","6.8","1.0","2.0",".500","0.0","1.0",".000","0.0","3.0","0.0","2.0","0.0","0.0","2.0"
"*05ujw*","Jericho Sims","MIL","C,Flx","369","FA","","21.32","4%","-0.7%","3","3.2","0.3","0.3","1.000","0.7","0.7","1.000","0.0","0.0","0.0","0.0","0.3","0.0","1.3"
"*06vxp*","Taelon Peter","IND","PG,SG,G,Flx","370","FA","","21.29","7%","-0.7%","4","7.8","0.3","1.0",".250","0.8","0.8","1.000","0.3","0.5","0.3","0.3","0.0","0.8","1.5"
"*06224*","E.J. Liddell","BKN","PF,F,Flx","371","FA","PHI Sun 5:00PM","21.28","2%","+0.1%","1","5.4","2.0","3.0",".667","1.0","1.0","1.000","1.0","2.0","0.0","0.0","0.0","0.0","6.0"
"*0633h*","Pat Spencer","GS","PG,G,Flx","372","FA","","21.03","2%","+0.2%","3","5.0","0.7","2.0",".333","0.0","0.0","0","0.0","0.7","0.3","0.3","0.0","0.0","1.3"
"*06v5x*","Carter Bryant","SA","PF,F,Flx","373","FA","@PHO Sun 7:00PM","21.01","30%","-1.4%","4","7.1","0.3","1.5",".167","0.5","0.5","1.000","0.3","0.8","0.0","0.0","0.3","0.8","1.3"
"*0621u*","Andrew Nembhard","IND","PG,SG,G,Flx","374","Goon","","21.01","95%","-2.9%","1","16.9","0.0","5.0",".000","4.0","4.0","1.000","0.0","1.0","4.0","0.0","0.0","2.0","4.0"
"*05uuv*","Trendon Watford","PHI","PG,SG,G,PF,F,Flx","375","FA","@BKN Sun 5:00PM","20.98","11%","-0.1%","2","14.8","0.5","2.0",".250","0.0","0.0","0","0.0","2.0","2.0","0.0","0.0","1.0","1.0"
"*06ca2*","Kobe Brown","LAC","PF,F,Flx","376","FA","","20.93","4%","-0.1%","3","4.8","0.3","0.3","1.000","0.7","0.7","1.000","0.0","1.0","0.7","0.0","0.0","0.3","1.3"
"*04qs0*","Aaron Holiday","HOU","PG,G,Flx","377","FA","","20.86","6%","-3.6%","2","7.4","1.0","2.0",".500","1.0","1.0","1.000","0.5","1.0","1.0","0.0","0.0","1.0","3.5"
"*05quh*","Zeke Nnaji","DEN","PF,F,C,Flx","378","FA","","20.86","4%","-0.2%","3","3.5","0.7","1.3",".500","0.7","0.7","1.000","0.0","0.3","0.3","0.0","0.0","0.3","2.0"
"*06y3q*","Ryan Nembhard","DAL","PG,SG,G,Flx","379","FA","","20.81","14%","-0.8%","3","9.2","1.3","3.0",".444","0.7","0.7","1.000","0.0","0.3","1.7","0.0","0.0","1.7","3.3"
"*06z4q*","Chris Manon","LAL","PG,SG,G,Flx","380","FA","MIA Sun 8:30PM","20.79","2%","+0.2%","2","3.5","0.0","0.5",".000","0.0","0.0","0","0.0","1.0","0.0","0.0","0.5","0.0","0.0"
"*031m9*","Mason Plumlee","CHA","C,Flx","381","FA","UTA Sun 5:00PM","20.76","10%","-3%","2","3.9","0.5","0.5","1.000","0.0","0.0","0","0.0","1.0","0.5","0.0","0.0","0.0","1.0"
"*0622f*","Karlo Matkovic","NO","PF,F,C,Flx","382","FA","NO 68<br/>@OKC 85","20.66","16%","-1.4%","3","3.5","0.3","1.3",".250","0.0","0.0","0","0.0","0.7","0.0","0.0","0.3","0.0","0.7"
"*06v8g*","Kobe Sanders","LAC","PG,SG,G,Flx","383","FA","","20.63","5%","-0.2%","2","4.3","0.5","2.0",".250","0.0","0.0","0","0.0","0.5","0.5","1.0","0.0","0.5","1.0"
"*06v8c*","Amari Williams","BOS","PF,F,C,Flx","384","FA","","20.62","8%","-0.5%","2","3.4","0.5","1.0",".500","0.0","0.0","0","0.0","1.0","0.5","0.5","0.0","0.0","1.0"
"*06233*","Ron Harper","BOS","SF,F,Flx","385","FA","","20.41","1%","-0.1%","2","5.6","0.5","2.5",".200","0.0","0.0","0","0.0","1.5","1.5","0.0","0.0","0.0","1.0"
"*05qve*","JaeSean Tate","HOU","SF,F,Flx","386","FA","","20.4","3%","-0.3%","2","7.8","1.0","2.5",".400","0.0","0.0","0","0.0","1.0","0.0","0.5","0.0","0.5","2.0"
"*06v5j*","Jase Richardson","ORL","PG,SG,G,Flx","387","FA","","20.31","24%","-1.4%","5","4.1","0.2","0.8",".250","0.2","0.4",".500","0.0","0.2","0.8","0.0","0.0","0.4","0.6"
"*06cdj*","Colby Jones","DET","SG,G,Flx","388","FA","","20.16","3%","-0.2%","1","6.8","1.0","3.0",".333","0.0","0.0","0","0.0","4.0","2.0","0.0","0.0","0.0","2.0"
"*06mmh*","Isaac Jones","SAC","PF,F,Flx","389","FA","","20.1","5%","-0.5%","3","5.6","0.3","0.7",".500","0.3","0.7",".500","0.0","0.7","0.3","0.0","0.0","0.0","1.0"
"*05qu1*","James Wiseman","(N/A)","C,Flx","390","FA","","20.08","10%","-2.8%","1","19.9","2.0","3.0",".667","0.0","0.0","0","0.0","4.0","0.0","0.0","1.0","3.0","4.0"
"*06z61*","Myron Gardner","MIA","SF,F,Flx","391","FA","@LAL Sun 8:30PM","20.04","1%","+0.1%","1","2.7","1.0","1.0","1.000","0.0","0.0","0","1.0","1.0","1.0","0.0","0.0","0.0","3.0"
"*0623d*","Johnny Juzang","MIN","SG,G,SF,F,Flx","392","FA","","19.85","7%","-1.6%","3","2.3","0.3","1.3",".250","0.3","0.7",".500","0.3","0.3","0.0","0.0","0.0","0.0","1.3"
"*06mm1*","Bronny James","LAL","SG,G,Flx","393","FA","MIA Sun 8:30PM","19.85","18%","-1.8%","3","9.3","0.0","1.0",".000","0.0","0.0","0","0.0","1.0","1.0","0.3","0.3","1.3","0.0"
"*05qv9*","Anthony Gill","WAS","PF,F,Flx","394","FA","","19.82","1%","0%","3","2.6","0.3","0.7",".500","0.7","0.7","1.000","0.0","0.3","0.0","0.0","0.0","0.3","1.3"
"*06v5m*","Joan Beringer","MIN","PF,F,C,Flx","395","FA","","19.79","26%","-1%","3","2.8","0.3","0.3","1.000","0.0","0.0","0","0.0","1.3","0.0","0.0","0.0","0.0","0.7"
"*06mlu*","Harrison Ingram","SA","SF,F,Flx","396","FA","@PHO Sun 7:00PM","19.72","4%","-0.2%","2","3.1","0.5","0.5","1.000","0.0","0.0","0","0.5","0.5","0.0","0.0","0.0","0.0","1.5"
"*03r7v*","Pat Connaughton","CHA","SG,G,SF,F,Flx","397","FA","UTA Sun 5:00PM","19.7","3%","-0.2%","2","2.1","1.0","1.0","1.000","0.0","0.5",".000","0.0","0.0","0.5","0.0","0.0","0.0","2.0"
"*06cdd*","Andre Jackson","MIL","SG,G,Flx","398","FA","","19.64","6%","-0.6%","2","3.4","0.0","0.0","0","0.0","0.0","0","0.0","0.0","0.0","0.5","0.0","0.0","0.0"
"*06v88*","Maxime Raynaud","SAC","PF,F,C,Flx","399","FA","","19.61","20%","-1.1%","2","7.7","0.0","1.0",".000","0.0","0.0","0","0.0","2.5","1.0","0.0","0.0","0.5","0.0"
"*06mke*","DaRon Holmes","DEN","PF,F,C,Flx","400","FA","","19.58","22%","-2%","2","2.2","0.5","0.5","1.000","0.0","0.0","0","0.5","0.0","0.0","0.0","0.0","0.0","1.5"
"*06223*","Bryce McGowens","NO","SG,G,Flx","401","FA","NO 68<br/>@OKC 85","19.46","2%","-0.1%","2","4.7","0.0","1.0",".000","1.0","1.0","1.000","0.0","0.0","0.5","0.0","0.0","0.0","1.0"
"*06mkf*","AJ Johnson","WAS","PG,SG,G,Flx","402","FA","","19.45","14%","-1.3%","4","3.9","0.3","1.3",".200","0.0","0.0","0","0.0","0.5","0.3","0.0","0.0","0.0","0.5"
"*03apx*","Gary Harris","MIL","SG,G,Flx","403","FA","","19.2","3%","-0.5%","2","2.9","0.0","0.0","0","0.0","0.0","0","0.0","0.5","1.0","0.0","0.0","0.0","0.0"
"*03ad7*","Kevon Looney","NO","C,Flx","404","FA","NO 68<br/>@OKC 85","19.02","12%","-0.8%","1","6.9","0.0","2.0",".000","0.0","0.0","0","0.0","1.0","0.0","0.0","1.0","1.0","0.0"
"*06ccx*","Hunter Tyson","DEN","PF,F,Flx","405","FA","","18.98","3%","-0.3%","2","3.6","0.0","1.0",".000","0.0","0.0","0","0.0","2.5","0.0","0.0","0.0","0.0","0.0"
"*06vxw*","Hunter Dickinson","NO","C,Flx","406","FA","NO 68<br/>@OKC 85","18.9","5%","-0.4%","1","4.7","1.0","2.0",".500","0.0","0.0","0","0.0","0.0","0.0","0.0","1.0","2.0","2.0"
"*06mog*","Riley Minix","SA","SF,F,Flx","407","FA","@PHO Sun 7:00PM","18.88","1%","0%","2","1.9","0.0","0.0","0","0.0","0.0","0","0.0","0.5","0.5","0.0","0.0","0.0","0.0"
