"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","34","Benny","","72.06","100","11.6","99%","+99.4%","3","33.6","8.3","15.0",".556","8.7","10.3",".839","1.3","3.7","5.7","0.3","0.0","6.0","26.7"
"*042nm*","Pascal Siakam","IND","SF,PF,F,Flx","35","Slovenia","@MIN Sun 6:00PM","71.98","100","30.8","99%","+99%","2","34.9","8.5","18.5",".459","3.0","7.0",".429","2.5","10.5","5.0","0.5","0.5","1.5","22.5"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,Flx","36","Universa","@DAL Sun 6:30PM","70.77","100","25.6","100%","+99.9%","2","33.8","7.5","14.5",".517","3.5","4.0",".875","1.0","5.5","6.0","2.0","1.0","2.0","19.5"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","37","Benny","POR Sun 8:00PM","69.48","100","14","100%","+99.9%","2","28.8","6.5","12.0",".542","6.0","6.5",".923","3.5","4.5","9.0","0.0","0.5","3.0","22.5"
"*06215*","Bennedict Mathurin","IND","SG,G,SF,F,Flx","38","booty","@MIN Sun 6:00PM","69.41","100","99.2","99%","+98.9%","2","36.4","8.5","15.5",".548","11.5","13.0",".885","2.5","7.0","2.5","0.0","0.0","2.5","31.0"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","39","GAS","@DET Sun 2:30PM","69.4","100","38.5","100%","+99.9%","2","34.3","6.0","19.0",".316","4.5","5.0",".900","3.5","3.5","4.0","1.0","1.0","0.5","20.0"
"*03ad3*","Karl-Anthony Towns","NY","PF,F,C,Flx","40","WIN","@MIA Sun 5:00PM","69.07","100","11.3","99%","+99.4%","2","32.0","5.5","14.0",".393","9.0","10.5",".857","2.5","12.0","2.5","0.5","0.5","4.0","22.5"
"*042n4*","Jamal Murray","DEN","PG,SG,G,Flx","41","booty","","68.99","100","36.4","99%","+99%","2","35.9","9.5","18.5",".514","3.0","3.0","1.000","2.0","4.5","7.5","2.0","0.0","2.5","24.0"
"*03r7z*","Norman Powell","MIA","SG,G,SF,F,Flx","42","Slovenia","NY Sun 5:00PM","68.73","100","99.5","98%","+98.4%","2","30.5","7.0","14.5",".483","4.5","5.5",".818","3.0","7.5","2.5","1.5","0.5","2.5","21.5"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","43","Superswa","@MIA Sun 5:00PM","68.55","100","20.9","100%","+100%","2","34.6","7.5","19.0",".395","10.0","11.0",".909","2.0","3.5","5.0","0.0","0.0","1.5","27.0"
